debate,time,date,text,mp
"Anti-social Behaviour, Crime and Policing Bill",,2013-10-15 00:00:00,"Does the right hon. Gentleman agree that, although there has been a challenge in respect of the case of Adams in the Supreme Court, the position has not moved and the law on the definition of miscarriage of justice has been settled since 2011?",Emily Thornberry
"Anti-social Behaviour, Crime and Policing Bill",,2013-10-15 00:00:00,I hope the right hon. Gentleman recognises that the wording of amendment 95 reiterates the wording in the settled case law I have been telling him about.,Emily Thornberry
House of Lords Reform (No. 2) Bill,,2013-10-18 00:00:00,rose—,Emily Thornberry
House of Lords Reform (No. 2) Bill,,2013-10-18 00:00:00,"Indeed, Madam Deputy Speaker.",Emily Thornberry
House of Lords Reform (No. 2) Bill,2017-05-01 10:19:00,2013-10-18 00:00:00,"My apologies to the hon. Member for Hereford and South Herefordshire (Jesse Norman). I congratulate the hon. Member for North Warwickshire (Dan Byles) on introducing the Bill. He has been lucky to be drawn so high in the ballot, and he has shown great judgment in deciding to bring this Bill before the House. It is modest, it is wholly sensible and it is needed. There has been some talk from the Minister of the Bermuda triangle of House of Lords reform. I hope that the hon. Member for North Warwickshire, with his history as an Atlantic rower, will be able to get us out of the Bermuda triangle together and safely. I also compliment the hon. Gentleman on the way he dealt with the matter today. At first he rather reminded me of a man trying to swat an irritating fly away from his modest sandwich, but then I thought that was unfair to him, because he was being so polite, deferential and respectful to hon. Members. He seemed more to be saying, “Honourable Fly, please take a seat. You may think that this piece of cucumber is good for you, but let me assure you that cucumber is very bad for flies.” The hon. Gentleman also showed that he has done his homework by answering fully all sorts of points, some of which I had never considered, and those points that he was unable to answer today he hopes to be able to answer in Committee. I can assure him at this early stage that the Opposition will be supporting his Bill. The House of Lords is too big. I understand that it currently has 825 Members, although that figure might be out of date already, because it goes up all the time. The Minister talked about the decision, set out in the coalition agreement, that the other place should reflect the results of the general election, and it seems to me that a strange kind of arms race is beginning. If we appoint Members to the other place after every general election in order to reflect the result but have no means by which they can leave, we will of course end up with a House of Lords that is far too large. I have heard all sorts of tales from friends in the other place about having to get to the Chamber 25 minutes before a debate begins to ensure that they get a seat, and there are all the other difficulties that result from there simply being overwhelming numbers in the other place. I think that the continual appointment of large numbers of Members to the other place is undermining its ability to function properly and is to be regretted.",Emily Thornberry
House of Lords Reform (No. 2) Bill,,2013-10-18 00:00:00,"That is not something we are in a position to say at the moment. What we have always said in relation to House of Lords reform is that it needs to be done by agreement. We have to be able to sit down, talk together and reach sensible conclusions. There are sensible people in this place, and if they go into negotiations in good will we can reach a proper conclusion. I do not want to go over the problems of the past year or so, but our view is that the difficulty with those negotiations is that they did not begin on that basis. Clause 1 would allow peers to resign or retire, and that seems entirely sensible. I do not believe that becoming a peer should be a life sentence. There are many reasons why people might want to leave the other place. They might be ill, or there might be other things they want to do, so it seems entirely sensible that they should be able to leave if they so wish. It does not seem sensible that they should continue to have desks and that papers should continue be delivered to them if they are not attending. I understand that if we were to introduce these measures, it is anticipated that the numbers would go down automatically by 10%, based on the estimates I have seen. Clause 2, which would allow for automatic severance if someone is not fit to attend for a whole Session without leave—essentially, the “able” clause—seems very sensible. So, too, is clause 3, which would allow a peer to lose their seat if they had been convicted of a criminal offence and were sentenced to at least a year’s imprisonment or an indefinite sentence. Surely that is nothing more than a sensible provision that already applies in this place. There is some discretion in relation to overseas prison sentences, and I understand the reasoning behind that. My only regret, I suppose, is that it is not retrospective, so even if the Bill is passed, Lord Archer stays. Labour supports the Bill, as, I am pleased to see, does the Political and Constitutional Reform Committee. Our support, however, does not detract from our support for full democratic reform of the House of Lords. I have only one other quibble with the Bill: having looked at the website of the hon. Member for North Warwickshire—I understand that it is a marginal seat—I note that he is calling it the Byles Bill, but I suspect that it will always be known as the Steel Bill.",Emily Thornberry
House of Lords Reform (No. 2) Bill,,2013-10-18 00:00:00,"Further to that point of order, Mr Deputy Speaker.",Emily Thornberry
House of Lords Reform (No. 2) Bill,,2013-10-18 00:00:00,"I ask for your ruling, Mr Deputy Speaker, on whether this is correctly a point of order. The inconsistency that has been shown this afternoon is extraordinary—",Emily Thornberry
Beneficial Ownership,,2013-10-24 00:00:00,11.  What plans he has to publish the Government’s planned register of companies’ beneficial ownership.  [900681],Emily Thornberry
Beneficial Ownership,,2013-10-24 00:00:00,"The Prime Minister has expressed his personal support for a public register and is supported in that by four former Labour Home Secretaries, the British Bankers Association and anti-corruption non-governmental organisations, but, as my mum used to say, fine words butter no parsnips. Will he take the opportunity of the open government partnership summit, which I understand will happen later this month, to confirm that the Government will have an open and public register of beneficial ownership of companies?",Emily Thornberry
Crime Figures,,2013-10-28 00:00:00,"The Home Secretary will be aware not only that rape statistics have gone up, but that the figures for child abuse have gone up hugely as well. Five years ago, 50% of rape offences were referred to the CPS, but now only 30% of rape and abuse of children offences are referred. What will the Home Secretary do about that? Does she believe that 20% cuts to the police might have something to do with it?",Emily Thornberry
Post Offices (Islington),2017-05-01 11:10:00,2013-10-29 00:00:00,"I thank my hon. Friend the Member for Islington North (Jeremy Corbyn) for securing this debate, which is important for Islington. I am delighted, Mr Dobbin, to serve under your chairmanship today. What has been happening to our post offices in Islington is a sorry story, and I shall start with the Almeida street site. It is a large site in the heart of my constituency. It is bounded on one side by Upper street, and surrounded by Moon street, Milner place and Gibson square. It is a very large development area. The Post Office somehow managed to sell the site without securing a proper site for another post office. It kept the post office on Upper street, but is only renting it back. The post office does not have disabled access and its remaining time on that site is limited. It is a Victorian building; it has been there for ever; it is in the heart of my patch; and it seems that it will just go. That is the first problem. The post office on the Upper street site needs to move. We accept and understand that, but the question is, where will it move to? The other big Crown post   office in my constituency, which borders my hon. Friend’s constituency, is the Highbury Corner site. As hon. Members have heard, it is only temporary, so the council offered £2 million and a site for a Crown post office across the road. In its wisdom, Post Office turned that offer down. Having sold off one site and not secured another, and having turned down £2 million that the council had offered, it is telling us that it does not know where to move to or what it can do. We are told that the post office can move to a site opposite the garage on Upper street by the town hall. I have said several times that one reason why it needs to move is the lack of disabled access at the Upper street site. Yet, I understand that on the site that it is moving to the door is of limited size because it is in a conservation area. It will not be able to have double doors that open electronically, which is the ideal for any new site, particularly when it serves a large disabled and elderly population, as it does. Thankfully, people today do not have ordinary wheelchairs; they have electronic wheelchairs and can get about. I have grave doubts about disabled access at the new site, which the post office is moving to, not least because of the lack of disabled access now, and I wonder whether there will be disabled access for everyone or only some people. If the Post Office expects someone in an electronic wheelchair to push open a door, it is on another planet; it will not work. There has been one bad decision on the Almeida site and another on the Highbury Corner one. In addition, the council has not given up. It is saying, “Okay, you have refused our £2 million; we are now in a time of austerity and the £2 million has been spent elsewhere. But guess what? We are prepared to give you £750,000 for another site at Highbury Corner.” The gauntlet is down, but the Post Office will not accept that offer either. The council has also said. “In the meantime, if you are trying to build another post office, we can provide you with accommodation.” The council has offered accommodation near empty council buildings on Upper street, but the Post Office does not seem to want to move there either. How much more can it try to destroy its business than it has done over the past five or 10 years in Islington? If I sound fed up, Mr Dobbin, you should hear what my constituents have to say. The situation is not hopeless. Some post offices work perfectly well. I fought hard to save Essex road post office, as some of the Minister’s officials know, and we secured its future. It has been refurbished and has just reopened with extended hours, five counters and disabled access. It will do very well and it is exactly the sort of post office we want. If that can be done in one corner of my constituency, why can it not be done in its backbone, where we need a Crown post office that will function properly. My last complaint—I have more, but I am being selective—is that even if a new Crown post office is opened opposite the garage, whether it has disabled access is a moot point, and there will be only seven counters. There are seven counters at the current post office in Upper street and at Highbury Corner. The Post Office intends to try to put a quart into a pint pot with the same number of counters at Upper street. People already queue outside in the rain at both Highbury Corner and Upper street post offices. People do not go to the post office because they do not have 45 minutes to queue. The Post Office is cutting off its nose to spite   our face. It must get a grip and show some leadership and vision. It must move on and build a proper Crown post office on Upper street that is worthy of the people of Islington.",Emily Thornberry
Post Offices (Islington),,2013-10-29 00:00:00,"The Minister is right, and may I plug Essex road post office? It is a fantastic post office and well saved. However, why is the Essex road part of my constituency fit for a proper office, yet we cannot get one on the A1, which is the main street that goes through my patch?",Emily Thornberry
Post Offices (Islington),,2013-10-29 00:00:00,"The Minister is being generous in allowing me to intervene again. Is she able to inform us how much money the Post Office made when it sold off the Almeida site? Surely, that could subsidise post offices in Islington until the next century.",Emily Thornberry
Legal Aid Reform,,2013-06-27 00:00:00,Where is he?,Emily Thornberry
Corporate Structures and Financial Crime,2017-05-01 16:35:00,2013-07-04 00:00:00,"In beginning this debate, my hon. Friend the Member for Bassetlaw (John Mann) pointed out that the responsibilities of the two Front Benchers relate to different Departments. The reason why I am speaking on behalf of the Opposition is that it is our view that too many of the matters under discussion are crimes, should be crimes, should be prosecuted and are not being prosecuted at the moment. My presence underlines the emphasis that the Opposition put on that. We welcome the fact that tax evasion was on the agenda at the G8 and the Prime Minister is right that we need to pierce the corporate veil. Lack of transparency enables criminals to hide behind shell companies and launder the proceeds of crime. In our view, however, the Prime Minister left the heavy lobbying until too late and the international commitment to breaking down corporate secrecy was weak. In fact, as my right hon. Friend the Member for Oldham West and Royton (Mr Meacher) has said, it was feeble. The G8 members only agreed to   consider national registries of the beneficial ownership of companies, which, to be frank, is very little commitment at all. What is the Government’s commitment to that registry? Will it be public? The hon. Member for Banbury (Sir Tony Baldry) has said that the Prime Minister is on record as saying that he wants it to be public, but what does that mean? Will it be rigorous? Every legal entity is ultimately controlled by a natural person—somebody who lives and breathes and who can go to jail if they do things wrong. Will there be a requirement that the information registered on beneficial ownership always includes a natural person? What penalties will there be for failing to supply the required information? Will there be an obligation to record the owner of bearer shares where the owner is not registered and the issuing firm does not track subsequent transfers of ownership? Will there be an obligation for companies that use nominee directors to reveal on whose behalf those directors are working? We are told that the Government are reviewing all of this, but it seems to me that there is plenty of wiggle room. Will there be an obligation on the part of the registry to carry out due diligence on the information it receives? In practical terms, will Companies House have the resources to do that? Past studies have revealed that Companies House has not even had sufficient resources to routinely check company directors against a list of disqualified persons. Will Her Majesty’s Revenue and Customs have the resources to investigate? HMRC currently faces £2 billion of funding cuts this Parliament, leading to a further 10,000 job cuts. Will the Crown Prosecution Service, also cut by more than 27%, have the resources to prosecute? Will the Government strengthen the regulation of corporate service providers that set up sham companies and straw-men directors? We do not know. Will we be told, and if so, when? What we do know is that a future Labour Government will bring an end to the era of tax smoke and mirrors. As the shadow Chancellor, my right hon. Friend the Member for Morley and Outwood (Ed Balls), and the shadow Exchequer Secretary, my hon. Friend the Member for Newcastle upon Tyne North (Catherine McKinnell), have set out in Labour’s policy review on corporate tax, the Government should ensure that HMRC has the power, resources and capacity it needs. They should also explore how their general anti-abuse rule can be strengthened. The Government should also deliver internationally agreed reporting rules so that large multinational companies have to publish the key pieces of information that people need to assess the amount of tax they pay. We also need to look at the channels through which the laundered money goes. Of the 17 banks analysed by the FCA, half were found not to have proper processes to prevent money laundering. Four of those were UK banks. I was disappointed that the FCA did not name those banks and have written to it asking it to do so. Many Members have referred to last year’s US Senate report, which found that HSBC had been used to launder the money of Mexican drug lords. It called HSBC a conduit for “drug kingpins and rogue nations”. The US Department of Justice fined HSBC £1.25 billion for money laundering. I am not aware that the UK authorities have taken any action on that, beyond requiring an improved monitoring regime. Of course, the chairman of HSBC at the time became the Minister for Trade and Investment in this Government and continued to be so until recently. Whether it is LIBOR rigging, money laundering or sanctions evasion, the UK has been slow to investigate British banks. When it has punished them, the fines have been dwarfed by those imposed by the US. For example, Barclays was fined £101 million in the US for LIBOR rigging, whereas the Financial Services Authority in the UK fined it £60 million and the Serious Fraud Office is still investigating. The SFO prosecuted only 20 cases last year and convicted 14 individuals. In the past two years there has not been a single corporate prosecution.",Emily Thornberry
Corporate Structures and Financial Crime,,2013-07-04 00:00:00,"I am getting to that. I am grateful to my right hon. Friend. Is it any wonder that KPMG has just reported that in the UK, fraud cases totalling more than £500 million were recorded in the first half of 2013, which is up by more than a quarter on the previous year? We need a change of culture in our law enforcement agencies. We must equip them with the tools and resources that they need to get on the front foot. Under English law, companies are criminally liable only if it can be proved that a director was personally involved in the wrongdoing. That is an extremely high threshold—a problem to which the hon. Member for Wells (Tessa Munt) referred. There is a good case for holding companies vicariously liable for their employees’ economic crimes, unless they can demonstrate that they had adequate compliance procedures. The last Labour Government did that in relation to bribery with the Bribery Act 2010. We want to build on that, but this Government want to water it down. They say, for some reason, that rules against bribery are red tape. That stopping people bribing one another can be seen as red tape is beyond belief. If we change the law on corporate responsibility, we may see an increase in the number of companies that are prosecuted, so we must have a penalty structure that is worthy of receiving them. The highest fraud fine to result from an SFO prosecution is £2.2 million. The highest fine clinched by the US Department of Justice is larger than $3 billion. Why do we not introduce a system in which sentences are based on a percentage of the company’s turnover over the past three years? Although the SFO’s problems are not entirely down to under-resourcing, resources are important because these crimes are expensive to investigate. Last year, the SFO’s budget was £34 million, compared with £40 million in 2009-10. In 2014-15, it will fall to only £30 million. It is so short of money that it has to go cap in hand to the Treasury whenever it wants to take over a major prosecution. That at least gives the impression that the Chancellor has a secret veto on whether fraud investigations take place. The US approach of topping up the funds of fraud prosecutors is much more appealing. Where possible, confiscated assets are returned to the victims. The proceeds from the many cases in which the victims cannot be traced are poured into a central fund. Each year, teams of prosecutors bid for a portion of that fund for asset tracing and law enforcement investigations. We have the beginnings of such a system in the UK. We could extend that and put large fines or at least part of them into the pool as well. In these austere times, we need to explore such alternative means of funding.",Emily Thornberry
Corporate Structures and Financial Crime,,2013-07-04 00:00:00,"I am grateful to the hon. Gentleman, but in the time I have available, I would like to look to the future and consider the best method that we have for solving the current problems. I am happy to talk to him at some length outside the debate, because I am committed to the issue and will be interested to hear his point of view. It seems to me that one good way in which the assets in question can be used, instead of lowering the levy, is to put them into a pool that prosecutors can use in future. That would help to pump up what we are doing. That seems to be a way forward, and I am putting it before the House today to get some sensible responses.",Emily Thornberry
Corporate Structures and Financial Crime,,2013-07-04 00:00:00,"Unfortunately I am running out of time, but I would like to hear from the hon. and learned Gentleman briefly.",Emily Thornberry
Corporate Structures and Financial Crime,,2013-07-04 00:00:00,"I am grateful to the hon. and learned Member for Harborough (Sir Edward Garnier) and appreciate his expertise in the matter, but I actually did say that immediately before he came into the Chamber. I am glad that there is now cross-party agreement, and I urge him to ensure that his party’s Front Benchers adopt my ideas. Now is the time to move on in relation to fraud, and I believe that companies should be held liable for the fraudulent activity of individuals, building on the Bribery Act. That is a way forward, and if we can agree on it, then great—let’s do it. If the Government are committed to a crackdown on crime, why have they left it to Labour to amend the Financial Services (Banking Reform) Bill, which will come before the House again on Monday? Why have they not tabled amendments? We understood that the Prime Minister was committed to introducing a crime of reckless management of a financial institution, so why have the Government not tabled such an amendment? Why do we need to do it? It seems odd. We are concerned that, although the Prime Minister is happy to make pledges when everyone is watching, he hopes that when nobody is noticing he can carry on and do nothing. It seems to us that an offence of reckless banking needs to do more than deliver symbolic sacrifices after the event. We need managers to be held liable if they turn a blind eye to those who are committing crime. They should have a responsibility to monitor what happens. No single person brings a bank to its knees and no single person should be responsible for UBS, Société Générale or Barings, whatever some may want us to believe. There are further people who are also responsible, and we need to ensure that the law allows for other people to be prosecuted. Nowhere is that more apparent than in the Government’s record on basic economic crime such as the failure to ensure that people are paid the minimum wage. In the past three years, only two bosses have been prosecuted for that, and workplace inspections have halved in the past 12 months. It seems to us that it is about time the Government started taking seriously economic crime of all types, including people not being paid a basic wage.",Emily Thornberry
Crown Prosecution Service (Court Proceedings),,2013-07-09 00:00:00,"I am concerned about the Solicitor-General’s complacency on this issue, particularly in the light of what has happened in the last three weeks. Crown court judges across the country, from Bristol to Warwick and from Warwick to Croydon, have said publicly what all those working in the criminal justice system have been saying privately for some time—that the CPS is dogged by delays and disorganisation, that trials are being put at risk and that there is a danger that people charged with very serious offences such as murder and rape will walk away scot-free. I have written to the Director of Public Prosecutions about this, and I would ask the Solicitor-General to acknowledge these problems  and tell us exactly what it is that he is going to do  about them.",Emily Thornberry
Crown Prosecution Service (Court Proceedings),,2013-07-09 00:00:00,It was a murder case.,Emily Thornberry
Hospital Mortality Rates,,2013-07-16 00:00:00,"The Secretary of State began his statement with an alarming story about patients being left unmonitored on trolleys—I understand that took place at Tameside hospital. Does he agree that there may be a connection between that and the fact that there are 128 fewer nurses, midwives and health visitors in that hospital than there were in 2010? Given that the previous Government flagged up that hospital as one of particular concern, was he watching it to make sure that there were no cuts in nursing staff there?",Emily Thornberry
Living Standards,,2013-09-04 00:00:00,May I bring my hon. Friend back to the real-life situations that real people face? Is she aware that in Islington the cheapest subsidised place for full-time child care costs £164 a week? The minimum wage is £212 a week and the London living wage is £272. Is that reality not why it is so hard for so many people in Britain today to make ends meet?,Emily Thornberry
Living Standards,,2013-09-04 00:00:00,rose—,Emily Thornberry
Living Standards,,2013-09-04 00:00:00,"I wonder whether I might drag the right hon. Gentleman back from the political knockabout to the realities of life. A point was made earlier about the number of working people who are now dependent on housing benefit. Is he aware that the cheapest four-bedroom flat to rent on Rightmove yesterday cost £440 a week? Given that the minimum wage is £212 a week, how can people live?",Emily Thornberry
Living Standards,,2013-09-04 00:00:00,Jam tomorrow.,Emily Thornberry
Living Standards,2017-05-01 15:16:00,2013-09-04 00:00:00,"It is a great pleasure to follow my hon. Friend the Member for Wirral South (Alison McGovern) and the hon. Member for Croydon Central (Gavin Barwell), who have both made thoughtful contributions to the debate. It is a great shame that more Members are not present on the Government Benches. We seem to be running out of speakers rather early, which speaks volumes. The Conservative Government seem quite happy to crow at great length about how well the economy is doing, but they seem to take very little interest in the question of living standards. They crow about how well the economy is doing, we hear a great deal of briefing on the subject and we endure a great deal at Prime Minister’s questions, but the truth is that no one believes them. That is because people’s lives do not reflect a growth in the economy. For ordinary people, life is getting harder, not better. People do not believe that next year is going to be better than this year; they believe that it is going to be harder. And I am afraid that, at the moment, it looks as though they are right. That is partly because services are being cut. It is partly because people are having to queue to see their GP. It is also harder for older people to get social care or to see a consultant. After-school clubs are being cut, youth groups are being closed and there are restricted hours for day centres. Life is also more difficult for people because they no longer have access to the kinds of services that they have been taking for granted, which are being cut by the Government. Primarily, however, life is harder because people feel that their wages and benefits are not keeping up with inflation. The reason for that is that they are not: they are not keeping up by a long chalk. Those people who are lucky enough to be in work are often not working sufficient hours. They might be working for their poverty, but they are not earning enough to be able to rely on their own wages. They also have to rely on benefits and tax credits. Many of those on low wages who work full time also have to rely on benefits and tax credits, especially in areas such as the one I represent. In central London, it is simply not possible to live on the average wage without relying on benefits to help to pay the rent and to help with child care costs. Much has been said about what a great idea universal credit is, and about how we should have one level of benefits for everyone across the country, including those in central London. No allowance is made for the fact that rents and child care costs are so much higher in areas such as this. People on average wages in central London rely on benefits too. That is the truth, and if universal credit is introduced in the way the Government propose, I do not know what is going to happen to those people.",Emily Thornberry
Living Standards,,2013-09-04 00:00:00,"The hon. Gentleman raises a point that divides us completely. Those of us on the Labour Benches believe in investing money in housing, for example. I have just mentioned the huge rents that people have to pay, and how difficult it is for people on average wages to live in London without relying on housing benefit. If we could build more houses in central London and the south-east, house prices would not be as high as they are now and people would not need to rely on benefits in the way that they do. That makes sense. If we build homes, we also provide jobs and infrastructure, lower our dependence on housing benefit and lower housing prices generally. We will offer hope and opportunity for the next generation. I have no idea why the Government will not do this, but they are refusing to invest properly. We will need a new Government before that happens.",Emily Thornberry
Living Standards,,2013-09-04 00:00:00,"I am sure that the hon. Gentleman, who I know takes this issue very seriously, will have seen the policy development happening in the Labour party and the seriousness with which we are putting this issue as a front-and- centre policy for us as a future Government. We know the difference that that will make to the economy. When it comes to investing money, this is what we should invest it in. I fully support our Front-Bench team on this and I believe it is the right thing for this Government to do. In the end it would save us a great deal. I do not believe that we can just build tens of thousands of homes. We need to get out there and start building seriously. We need to start building now and, frankly, I think it is disgraceful that, given the recession that we are having to endure, this Government have, I believe, the worst house building record of any Government since the 1920s. That is outrageous. This was not the original purpose of my speech but since the hon. Member for Ipswich (Ben Gummer) has touched this particular nerve—I apologise for giving it to him with both barrels—I simply cannot see the sense in the Government’s current policy of putting their fingers in their ears and saying “La, la, la, la, la, la, la.” and thinking that this problem will somehow go away. It will not go away. The only way to solve our housing crisis is to build more housing. Returning to my original brief, those in part-time work do not earn enough money to be able to afford a good standard of living and that applies even to some of those in full-time work, so some have to rely on benefits. We have seen that 60% of new jobs since the last election are in the low-paid sectors of our economy—retail and residential. Between 1997 and 2010, 25% of the new jobs established were in those sectors. Why is this difference occurring? A Resolution Foundation study has shown that 4.8 million Britons—20% of all   employees—earn below the living wage, which is a leap from 3.4 million, or 14%, at the height of the recession. Why is that happening? Why have those on average wages lost an average of £1,500 a year? It is happening because our economy is unfair and unbalanced. What are the Government going to do about it? How are they going to address the problem? They cannot simply keep sailing on and hope that things are going to be all right. Things are not going to be all right. The evidence shows that there will continue to be people who just manage to grab on to work by their fingertips, but not by enough for them to be able to sustain themselves and their families. Even those in full-time work, particularly in areas such as London and the south-east, cannot afford to live without being supported by benefits. In the end, this is unsustainable; we must raise wages in real terms. I hold a women’s listening panel every year. This year, it is on 13 September at St Mary’s hall in Upper street, and all my female constituents are welcome. I carried out a survey last year and 89% of the constituents who replied said that their income had gone down in the previous year; 32% said their rent had gone up and 70% said it was difficult for them to make ends meet because of their food and fuel bills. They particularly mentioned the expense of child care in Islington. The problem is not just the obvious and manifest cost of rent. The cost of child care—£164 a week—is so expensive as to make it impossible for someone on the minimum wage of £212 a week to put a child into full-time child care. These things do not make sense. There are many single parents in my constituency who want to get into work, but who simply cannot make ends meet when it comes to getting to work, placing their children in child care, being able to pay the rent and being able to pay their way. This is the trap that so many people find themselves in, and there has to be an answer to it. Even getting someone to pick the children up after school and look after them for a few hours until the person finishes work can cost £92. How can that be all right for someone on the minimum wage of £212 a week? It does not make sense; it does not add up. Those who live on benefits and do not work at all—those on jobseeker’s allowance—have, of course, seen a rise in their income of 70p a week. I do not know whether the Exchequer Secretary has ever spoken to anyone who lives on jobseeker’s allowance and gone through with them how they spend their £70.70 a week? If so, he would know how difficult it is for them to make ends meet at the moment. It seems to me that we have heard a great deal of political knockabout today when what we should be doing is listening to real people out there and how they live their real lives. I invite the Minister and his boss to come to my women’s listening panel. I will not tell the women that they are Tories, so they will be safe, and we will finesse the fact that they are the only men in the room. They should listen to what is said, listen to these women’s stories of how they are trying to make ends meet in these difficult times. Year in, year out, it gets worse and more difficult for them. The Minister may talk about the economy  getting better, but he should listen to what is going  on in real life.",Emily Thornberry
The Economy,,2012-12-11 00:00:00,rose —,Emily Thornberry
The Economy,,2012-12-11 00:00:00,"Am I right in remembering—I think it was on page 14 of the Liberal Democrat manifesto—a pledge to cut 7,000 tax inspectors?",Emily Thornberry
The Economy,,2012-12-11 00:00:00,Hooray!,Emily Thornberry
The Economy,2017-05-01 17:03:00,2012-12-11 00:00:00,"The autumn statement showed that this Government’s handling of the economy has been a profound failure. It shows what happens when a Government do not have any plan for jobs and growth. If they do not have a plan for jobs and growth, they come back after two and a half years and say, “Actually, we need another five years,” and if they still do not have a plan for jobs and growth, they will come back after another two and a half years and again say they need another five years, and so it will go on, because borrowing is up and debt is up and economic growth is down. The Government have wasted two and a half years. People simply do not buy it any more. The Business Secretary said that the Government’s credibility hinges on whether or not they eliminate the deficit. After the autumn statement it is clear that the credibility of this Government, supported by the Liberal Democrats, is in tatters. I want to talk about the poor, because my poor constituents believe they are being punished for the failure of this Government and their reckless welfare reform. I also want to talk about the rich and how they are being let off the hook—again, that is because of the Government’s failure to make sure we collect all the tax we are owed. Why did the Government, when they first came into office, cut the number of tax inspectors by 7,000? The ambition was to cut the number of tax inspectors to an all-time low of 56,100. I remember that I wrote to the Chancellor in November 2010 saying that that would be counter-productive. When the Government are cutting the staff who prevent tax avoidance and evasion, how can my constituents believe that tackling it is a priority? Indeed, in answer to a parliamentary question, the Government admitted that every new tax inspector brings an additional £600,000 a year into the Exchequer.",Emily Thornberry
The Economy,,2012-12-11 00:00:00,"The Economic Secretary shakes his head, but I am just quoting what was said in the Government’s answer to a parliamentary question. He is welcome to intervene if he wishes to correct me.",Emily Thornberry
The Economy,,2012-12-11 00:00:00,"The fact is that 7,000 jobs have gone under this Government’s plans, and the gap between what we collect and what we are owed is estimated to be £35 billion, which is twice the housing benefit bill. Independent research commissioned by the Public and Commercial Services Union reckoned that the real figure was more like £120 billion, which is six and a half times the housing benefit bill. Whatever the true sum, the fact is that without a sufficient number of tax inspectors we cannot ensure that the rules apply to everyone. Everyone should pay tax; it should not just be for the little people. Paying one’s taxes should not be some sort of charitable gesture, and I have little understanding as to why it was seen as appropriate for this Government to continue to cut back on tax inspectors. If we are to have rules, they need to be applied. The Exchequer Secretary says that there were many processing jobs, but presumably people in that job need to make sure that the sums add up, that everything has been claimed that should have been claimed and that everything has been paid that should have been paid. Without that essential processing we will never know whether or not tax avoidance has been taking place—this is not just about major companies; it happens throughout the system. At a time like this, we need to make sure that everyone plays by the rules. If everyone does that and if the rules apply to us all and we have a fair society, we have the very one nation that Labour Members have been talking about. Of course, the rules also apply to those who claim benefits and of course if someone can work, they must work. That is what unites this whole House. What does not unite this House is the language used by Government   Front Benchers—the language of “scroungers”. Such language is simply offensive, as the highly eloquent maiden speech by my new hon. Friend the Member for Middlesbrough (Andy McDonald) so well set out. Such language is a smokescreen that covers up a great deal of what this Government are actually doing. Although they talk about scroungers and those who stay in bed, keep the curtains closed and do not go out to work—the remarks are highly offensive—they do not address the issue, which is that many, many people who are out of work want to work, but the fact of the matter is that people cannot go from welfare into work if the work is not there. Furthermore, many of the changes that this Government are making and announced in the autumn statement will affect those very people who work. I want to go on to address the issue of not just those who are poor and not working, but that of those who are working in my constituency and are dependent on benefits. Sometimes I feel as though I live in a different world where Government Members believe that only those who are out of work claim benefits. In fact, many people who work depend on benefits. Surely that is a conundrum. Many people meet me on the street and say, “How can the welfare benefit bill be going up if a million additional people have got work?” The truth is self-evident. Many people who are now working work part-time or are self-employed rely on housing benefit and tax credits, the very things that the Minister will be cutting as a result of the autumn statement. Let us use the terms that he uses, such as the strivers. Those very strivers are having their support system cut away by this Government. Even in the hon. Gentleman’s offensive terms, that cannot be justified. I want to talk specifically about housing benefit because the issue affects my constituents particularly. I hear Government Members say, “Why should it be that people on average earnings receive less than people on benefits?” That has a certain ring to it and I know that the Conservatives are out of touch, but surely some of them must know someone who rents a flat and who understands that housing benefit goes not to the tenant, but to the landlord. It is because rents have gone up so much in London and the south-east that the housing benefit bill continues to rise. In the past two years, private rents in London have gone up by 25%, according to London Councils. In those circumstances, how can it be justified to attack housing benefit, to put an arbitrary cap on housing benefit, or to believe that housing benefit should be the same level in London as it is anywhere else in the country? How can that be fair? It is not the fault of my poor constituents that their rent is high. It is the fault of my Government and of Conservative Governments who did not build enough housing. There was a time when Conservative and Labour Governments used to compete with each other as to how much affordable housing they could build. In the 1970s, four fifths of the housing budget was spent on building new homes and one fifth on housing benefit. Now it is completely turned on its head and we continue to pay the price of failure. We must build more housing and we must not simply dance on a pin, analysing what affordable housing means. The Minister represents a party that defines affordable housing as costing 80% of market rent. He and his party should get some sort of George Orwellian prize   for double-speak. Eighty per cent. of market rent in my constituency could not be afforded by ordinary people in my constituency. I went on to the Rightmove website this morning and looked at the prices of three-bedroom flats in my constituency. Does the hon. Gentleman know how much the rent for a bog-standard three-bedroom flat in my constituency would be? Four hundred pounds a week. How much is the housing benefit cap? Three hundred and forty pounds a week. There was only one flat on Rightmove that was under the amount of the cap so how can people in my constituency, who will be subjected to the housing benefit cap, afford to continue to live in Islington? There is an argument that the poor should not be living in Islington, but I respectfully disagree. My constituency should be a mixed constituency and should have rich and poor. Generations of poor people who live in my constituency should be allowed to continue to live there. Furthermore, the housing benefit cap is one atrocious measure that this Government have introduced, but we wait for the next, which is universal credit. There will be a cap of £500 a week for a four-bedroom flat in my constituency. There were 69 that were under the £400 current housing benefit—",Emily Thornberry
